Date:20150331, table:MarketData_10000012_SH, MaxRecordDate:20150330, Wind:4861
Date:20150401, table:MarketData_10000012_SH, MaxRecordDate:20150331, Wind:5358
Date:20150402, table:MarketData_10000012_SH, MaxRecordDate:20150401, Wind:4770
Date:20150403, table:MarketData_10000012_SH, MaxRecordDate:20150402, Wind:4952
Date:20150407, table:MarketData_10000012_SH, MaxRecordDate:20150403, Wind:5129
Date:20150408, table:MarketData_10000012_SH, MaxRecordDate:20150407, Wind:6882
Date:20150409, table:MarketData_10000012_SH, MaxRecordDate:20150408, Wind:5237
Date:20150410, table:MarketData_10000012_SH, MaxRecordDate:20150409, Wind:4680
Date:20150413, table:MarketData_10000012_SH, MaxRecordDate:20150410, Wind:6333
Date:20150414, table:MarketData_10000012_SH, MaxRecordDate:20150413, Wind:3051
Date:20150415, table:MarketData_10000012_SH, MaxRecordDate:20150414, Wind:6443
Date:20150416, table:MarketData_10000012_SH, MaxRecordDate:20150415, Wind:5123
Date:20150417, table:MarketData_10000012_SH, MaxRecordDate:20150416, Wind:5482
Date:20150420, table:MarketData_10000012_SH, MaxRecordDate:20150417, Wind:5164
Date:20150421, table:MarketData_10000012_SH, MaxRecordDate:20150420, Wind:9592
Date:20150422, table:MarketData_10000012_SH, MaxRecordDate:20150421, Wind:5380
Date:20150209, table:MarketData_10000013_SH, MaxRecordDate:0, Wind:3386
Date:20150210, table:MarketData_10000013_SH, MaxRecordDate:20150209, Wind:6695
Date:20150211, table:MarketData_10000013_SH, MaxRecordDate:20150210, Wind:5231
Date:20150212, table:MarketData_10000013_SH, MaxRecordDate:20150211, Wind:5010
Date:20150213, table:MarketData_10000013_SH, MaxRecordDate:20150212, Wind:3762
Date:20150216, table:MarketData_10000013_SH, MaxRecordDate:20150213, Wind:3677
Date:20150217, table:MarketData_10000013_SH, MaxRecordDate:20150216, Wind:4613
Date:20150225, table:MarketData_10000013_SH, MaxRecordDate:20150217, Wind:3166
Date:20150226, table:MarketData_10000013_SH, MaxRecordDate:20150225, Wind:5184
Date:20150227, table:MarketData_10000013_SH, MaxRecordDate:20150226, Wind:3051
Date:20150302, table:MarketData_10000013_SH, MaxRecordDate:20150227, Wind:3896
Date:20150303, table:MarketData_10000013_SH, MaxRecordDate:20150302, Wind:5147
Date:20150304, table:MarketData_10000013_SH, MaxRecordDate:20150303, Wind:4741
Date:20150305, table:MarketData_10000013_SH, MaxRecordDate:20150304, Wind:6732
Date:20150306, table:MarketData_10000013_SH, MaxRecordDate:20150305, Wind:5396
Date:20150309, table:MarketData_10000013_SH, MaxRecordDate:20150306, Wind:4733
Date:20150310, table:MarketData_10000013_SH, MaxRecordDate:20150309, Wind:6548
Date:20150311, table:MarketData_10000013_SH, MaxRecordDate:20150310, Wind:6692
Date:20150312, table:MarketData_10000013_SH, MaxRecordDate:20150311, Wind:6624
Date:20150313, table:MarketData_10000013_SH, MaxRecordDate:20150312, Wind:4960
Date:20150316, table:MarketData_10000013_SH, MaxRecordDate:20150313, Wind:3575
Date:20150317, table:MarketData_10000013_SH, MaxRecordDate:20150316, Wind:2319
Date:20150318, table:MarketData_10000013_SH, MaxRecordDate:20150317, Wind:3649
Date:20150319, table:MarketData_10000013_SH, MaxRecordDate:20150318, Wind:5758
Date:20150320, table:MarketData_10000013_SH, MaxRecordDate:20150319, Wind:6054
Date:20150323, table:MarketData_10000013_SH, MaxRecordDate:20150320, Wind:4678
Date:20150324, table:MarketData_10000013_SH, MaxRecordDate:20150323, Wind:4839
Date:20150325, table:MarketData_10000013_SH, MaxRecordDate:20150324, Wind:5053
Date:20150326, table:MarketData_10000013_SH, MaxRecordDate:20150325, Wind:4729
Date:20150327, table:MarketData_10000013_SH, MaxRecordDate:20150326, Wind:5861
Date:20150330, table:MarketData_10000013_SH, MaxRecordDate:20150327, Wind:4483
Date:20150331, table:MarketData_10000013_SH, MaxRecordDate:20150330, Wind:4745
Date:20150401, table:MarketData_10000013_SH, MaxRecordDate:20150331, Wind:5515
Date:20150402, table:MarketData_10000013_SH, MaxRecordDate:20150401, Wind:4619
Date:20150403, table:MarketData_10000013_SH, MaxRecordDate:20150402, Wind:5385
Date:20150407, table:MarketData_10000013_SH, MaxRecordDate:20150403, Wind:5646
Date:20150408, table:MarketData_10000013_SH, MaxRecordDate:20150407, Wind:8489
Date:20150409, table:MarketData_10000013_SH, MaxRecordDate:20150408, Wind:6382
Date:20150410, table:MarketData_10000013_SH, MaxRecordDate:20150409, Wind:6026
Date:20150413, table:MarketData_10000013_SH, MaxRecordDate:20150410, Wind:6277
Date:20150414, table:MarketData_10000013_SH, MaxRecordDate:20150413, Wind:4418
Date:20150415, table:MarketData_10000013_SH, MaxRecordDate:20150414, Wind:6781
Date:20150416, table:MarketData_10000013_SH, MaxRecordDate:20150415, Wind:6384
Date:20150417, table:MarketData_10000013_SH, MaxRecordDate:20150416, Wind:6236
Date:20150420, table:MarketData_10000013_SH, MaxRecordDate:20150417, Wind:5546
Date:20150421, table:MarketData_10000013_SH, MaxRecordDate:20150420, Wind:7222
Date:20150422, table:MarketData_10000013_SH, MaxRecordDate:20150421, Wind:5306
Date:20150209, table:MarketData_10000014_SH, MaxRecordDate:0, Wind:3224
Date:20150210, table:MarketData_10000014_SH, MaxRecordDate:20150209, Wind:6921
Date:20150211, table:MarketData_10000014_SH, MaxRecordDate:20150210, Wind:5902
Date:20150212, table:MarketData_10000014_SH, MaxRecordDate:20150211, Wind:5615
Date:20150213, table:MarketData_10000014_SH, MaxRecordDate:20150212, Wind:4108
Date:20150216, table:MarketData_10000014_SH, MaxRecordDate:20150213, Wind:4477
Date:20150217, table:MarketData_10000014_SH, MaxRecordDate:20150216, Wind:4508
Date:20150225, table:MarketData_10000014_SH, MaxRecordDate:20150217, Wind:3398
Date:20150226, table:MarketData_10000014_SH, MaxRecordDate:20150225, Wind:5078
Date:20150227, table:MarketData_10000014_SH, MaxRecordDate:20150226, Wind:3441
Date:20150302, table:MarketData_10000014_SH, MaxRecordDate:20150227, Wind:4474
Date:20150303, table:MarketData_10000014_SH, MaxRecordDate:20150302, Wind:5285
Date:20150304, table:MarketData_10000014_SH, MaxRecordDate:20150303, Wind:5071
Date:20150305, table:MarketData_10000014_SH, MaxRecordDate:20150304, Wind:6672
Date:20150306, table:MarketData_10000014_SH, MaxRecordDate:20150305, Wind:5412
Date:20150309, table:MarketData_10000014_SH, MaxRecordDate:20150306, Wind:4554
Date:20150310, table:MarketData_10000014_SH, MaxRecordDate:20150309, Wind:5709
Date:20150311, table:MarketData_10000014_SH, MaxRecordDate:20150310, Wind:6820
Date:20150312, table:MarketData_10000014_SH, MaxRecordDate:20150311, Wind:6639
Date:20150313, table:MarketData_10000014_SH, MaxRecordDate:20150312, Wind:5802
Date:20150316, table:MarketData_10000014_SH, MaxRecordDate:20150313, Wind:3294
Date:20150317, table:MarketData_10000014_SH, MaxRecordDate:20150316, Wind:2228
Date:20150318, table:MarketData_10000014_SH, MaxRecordDate:20150317, Wind:3898
Date:20150319, table:MarketData_10000014_SH, MaxRecordDate:20150318, Wind:4021
Date:20150320, table:MarketData_10000014_SH, MaxRecordDate:20150319, Wind:4658
Date:20150323, table:MarketData_10000014_SH, MaxRecordDate:20150320, Wind:4504
Date:20150324, table:MarketData_10000014_SH, MaxRecordDate:20150323, Wind:4477
Date:20150325, table:MarketData_10000014_SH, MaxRecordDate:20150324, Wind:5669
Date:20150326, table:MarketData_10000014_SH, MaxRecordDate:20150325, Wind:5067
Date:20150327, table:MarketData_10000014_SH, MaxRecordDate:20150326, Wind:5347
Date:20150330, table:MarketData_10000014_SH, MaxRecordDate:20150327, Wind:4547
Date:20150331, table:MarketData_10000014_SH, MaxRecordDate:20150330, Wind:5069
Date:20150401, table:MarketData_10000014_SH, MaxRecordDate:20150331, Wind:5301
Date:20150402, table:MarketData_10000014_SH, MaxRecordDate:20150401, Wind:4592
Date:20150403, table:MarketData_10000014_SH, MaxRecordDate:20150402, Wind:4963
Date:20150407, table:MarketData_10000014_SH, MaxRecordDate:20150403, Wind:5286
Date:20150408, table:MarketData_10000014_SH, MaxRecordDate:20150407, Wind:7293
Date:20150409, table:MarketData_10000014_SH, MaxRecordDate:20150408, Wind:6812
Date:20150410, table:MarketData_10000014_SH, MaxRecordDate:20150409, Wind:6261
Date:20150413, table:MarketData_10000014_SH, MaxRecordDate:20150410, Wind:6266
Date:20150414, table:MarketData_10000014_SH, MaxRecordDate:20150413, Wind:4256
Date:20150415, table:MarketData_10000014_SH, MaxRecordDate:20150414, Wind:6659
Date:20150416, table:MarketData_10000014_SH, MaxRecordDate:20150415, Wind:8486
Date:20150417, table:MarketData_10000014_SH, MaxRecordDate:20150416, Wind:5587
Date:20150420, table:MarketData_10000014_SH, MaxRecordDate:20150417, Wind:4954
Date:20150421, table:MarketData_10000014_SH, MaxRecordDate:20150420, Wind:7042
Date:20150422, table:MarketData_10000014_SH, MaxRecordDate:20150421, Wind:5504
Date:20150209, table:MarketData_10000015_SH, MaxRecordDate:0, Wind:4553
Date:20150210, table:MarketData_10000015_SH, MaxRecordDate:20150209, Wind:7150
Date:20150211, table:MarketData_10000015_SH, MaxRecordDate:20150210, Wind:6474
Date:20150212, table:MarketData_10000015_SH, MaxRecordDate:20150211, Wind:6236
Date:20150213, table:MarketData_10000015_SH, MaxRecordDate:20150212, Wind:4133
Date:20150216, table:MarketData_10000015_SH, MaxRecordDate:20150213, Wind:4602
Date:20150217, table:MarketData_10000015_SH, MaxRecordDate:20150216, Wind:5039
Date:20150225, table:MarketData_10000015_SH, MaxRecordDate:20150217, Wind:3595
Date:20150226, table:MarketData_10000015_SH, MaxRecordDate:20150225, Wind:5830
Date:20150227, table:MarketData_10000015_SH, MaxRecordDate:20150226, Wind:3841
Date:20150302, table:MarketData_10000015_SH, MaxRecordDate:20150227, Wind:4528
Date:20150303, table:MarketData_10000015_SH, MaxRecordDate:20150302, Wind:5323
Date:20150304, table:MarketData_10000015_SH, MaxRecordDate:20150303, Wind:5500
Date:20150305, table:MarketData_10000015_SH, MaxRecordDate:20150304, Wind:7066
Date:20150306, table:MarketData_10000015_SH, MaxRecordDate:20150305, Wind:5205
Date:20150309, table:MarketData_10000015_SH, MaxRecordDate:20150306, Wind:4320
Date:20150310, table:MarketData_10000015_SH, MaxRecordDate:20150309, Wind:7356
Date:20150311, table:MarketData_10000015_SH, MaxRecordDate:20150310, Wind:7202
Date:20150312, table:MarketData_10000015_SH, MaxRecordDate:20150311, Wind:7234
Date:20150313, table:MarketData_10000015_SH, MaxRecordDate:20150312, Wind:5773
Date:20150316, table:MarketData_10000015_SH, MaxRecordDate:20150313, Wind:3746
Date:20150317, table:MarketData_10000015_SH, MaxRecordDate:20150316, Wind:3049
Date:20150318, table:MarketData_10000015_SH, MaxRecordDate:20150317, Wind:4592
Date:20150319, table:MarketData_10000015_SH, MaxRecordDate:20150318, Wind:5256
