Date:20150511, table:MarketData_510050_sh, MaxRecordDate:20150508, Wind:2837
Date:20150512, table:MarketData_510050_sh, MaxRecordDate:20150511, Wind:2289
Date:20150513, table:MarketData_510050_sh, MaxRecordDate:20150512, Wind:2772
Date:20150514, table:MarketData_510050_sh, MaxRecordDate:20150513, Wind:2616
Date:20150515, table:MarketData_510050_sh, MaxRecordDate:20150514, Wind:2499
Date:20150518, table:MarketData_510050_sh, MaxRecordDate:20150515, Wind:2567
Date:20150519, table:MarketData_510050_sh, MaxRecordDate:20150518, Wind:2460
Date:20150520, table:MarketData_510050_sh, MaxRecordDate:20150519, Wind:2779
Date:20150521, table:MarketData_510050_sh, MaxRecordDate:20150520, Wind:2466
Date:20150522, table:MarketData_510050_sh, MaxRecordDate:20150521, Wind:2673
Date:20150525, table:MarketData_510050_sh, MaxRecordDate:20150522, Wind:2723
Date:20150526, table:MarketData_510050_sh, MaxRecordDate:20150525, Wind:2758
Date:20150527, table:MarketData_510050_sh, MaxRecordDate:20150526, Wind:2662
Date:20150528, table:MarketData_510050_sh, MaxRecordDate:20150527, Wind:2552
Date:20150529, table:MarketData_510050_sh, MaxRecordDate:20150528, Wind:2392
Date:20150601, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2833
Date:20150602, table:MarketData_510050_sh, MaxRecordDate:20150601, Wind:2616
Date:20150603, table:MarketData_510050_sh, MaxRecordDate:20150602, Wind:2624
Date:20150604, table:MarketData_510050_sh, MaxRecordDate:20150603, Wind:2575
Date:20150605, table:MarketData_510050_sh, MaxRecordDate:20150604, Wind:2454
Date:20150608, table:MarketData_510050_sh, MaxRecordDate:20150605, Wind:2619
Date:20150609, table:MarketData_510050_sh, MaxRecordDate:20150608, Wind:2636
Date:20150610, table:MarketData_510050_sh, MaxRecordDate:20150609, Wind:2610
Date:20150611, table:MarketData_510050_sh, MaxRecordDate:20150610, Wind:2604
Date:20150612, table:MarketData_510050_sh, MaxRecordDate:20150611, Wind:4905
Date:20150615, table:MarketData_510050_sh, MaxRecordDate:20150612, Wind:2575
Date:20150616, table:MarketData_510050_sh, MaxRecordDate:20150615, Wind:2706
Date:20150617, table:MarketData_510050_sh, MaxRecordDate:20150616, Wind:2559
Date:20150618, table:MarketData_510050_sh, MaxRecordDate:20150617, Wind:2431
Date:20150619, table:MarketData_510050_sh, MaxRecordDate:20150618, Wind:2593
Date:20150623, table:MarketData_510050_sh, MaxRecordDate:20150619, Wind:2358
Date:20150624, table:MarketData_510050_sh, MaxRecordDate:20150623, Wind:2659
Date:20150625, table:MarketData_510050_sh, MaxRecordDate:20150624, Wind:2395
Date:20150626, table:MarketData_510050_sh, MaxRecordDate:20150625, Wind:2349
Date:20150629, table:MarketData_510050_sh, MaxRecordDate:20150626, Wind:2419
Date:20150630, table:MarketData_510050_sh, MaxRecordDate:20150629, Wind:2559
Date:20150701, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2577
Date:20150702, table:MarketData_510050_sh, MaxRecordDate:20150701, Wind:2647
Date:20150703, table:MarketData_510050_sh, MaxRecordDate:20150702, Wind:2441
Date:20150706, table:MarketData_510050_sh, MaxRecordDate:20150703, Wind:2574
Date:20150707, table:MarketData_510050_sh, MaxRecordDate:20150706, Wind:2581
Date:20150708, table:MarketData_510050_sh, MaxRecordDate:20150707, Wind:2646
Date:20150709, table:MarketData_510050_sh, MaxRecordDate:20150708, Wind:2392
Date:20150710, table:MarketData_510050_sh, MaxRecordDate:20150709, Wind:2765
Date:20150713, table:MarketData_510050_sh, MaxRecordDate:20150710, Wind:2610
Date:20150714, table:MarketData_510050_sh, MaxRecordDate:20150713, Wind:2519
Date:20150715, table:MarketData_510050_sh, MaxRecordDate:20150714, Wind:2781
Date:20150716, table:MarketData_510050_sh, MaxRecordDate:20150715, Wind:2273
Date:20150717, table:MarketData_510050_sh, MaxRecordDate:20150716, Wind:2461
Date:20150720, table:MarketData_510050_sh, MaxRecordDate:20150717, Wind:2558
Date:20150721, table:MarketData_510050_sh, MaxRecordDate:20150720, Wind:2495
Date:20150722, table:MarketData_510050_sh, MaxRecordDate:20150721, Wind:2514
Date:20150723, table:MarketData_510050_sh, MaxRecordDate:20150722, Wind:2424
Date:20150724, table:MarketData_510050_sh, MaxRecordDate:20150723, Wind:2968
Date:20150727, table:MarketData_510050_sh, MaxRecordDate:20150724, Wind:2566
Date:20150728, table:MarketData_510050_sh, MaxRecordDate:20150727, Wind:2724
Date:20150729, table:MarketData_510050_sh, MaxRecordDate:20150728, Wind:2339
Date:20150730, table:MarketData_510050_sh, MaxRecordDate:20150729, Wind:2686
Date:20150731, table:MarketData_510050_sh, MaxRecordDate:20150730, Wind:2827
Date:20150803, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2717
Date:20150804, table:MarketData_510050_sh, MaxRecordDate:20150803, Wind:2614
Date:20150805, table:MarketData_510050_sh, MaxRecordDate:20150804, Wind:2438
Date:20150806, table:MarketData_510050_sh, MaxRecordDate:20150805, Wind:2451
Date:20150807, table:MarketData_510050_sh, MaxRecordDate:20150806, Wind:2566
Date:20150810, table:MarketData_510050_sh, MaxRecordDate:20150807, Wind:2636
Date:20150811, table:MarketData_510050_sh, MaxRecordDate:20150810, Wind:2364
Date:20150812, table:MarketData_510050_sh, MaxRecordDate:20150811, Wind:2614
Date:20150813, table:MarketData_510050_sh, MaxRecordDate:20150812, Wind:2569
Date:20150814, table:MarketData_510050_sh, MaxRecordDate:20150813, Wind:2358
Date:20150817, table:MarketData_510050_sh, MaxRecordDate:20150814, Wind:2565
Date:20150818, table:MarketData_510050_sh, MaxRecordDate:20150817, Wind:2329
Date:20150819, table:MarketData_510050_sh, MaxRecordDate:20150818, Wind:2604
Date:20150820, table:MarketData_510050_sh, MaxRecordDate:20150819, Wind:2648
Date:20150821, table:MarketData_510050_sh, MaxRecordDate:20150820, Wind:2425
Date:20150824, table:MarketData_510050_sh, MaxRecordDate:20150821, Wind:2564
Date:20150825, table:MarketData_510050_sh, MaxRecordDate:20150824, Wind:2457
Date:20150826, table:MarketData_510050_sh, MaxRecordDate:20150825, Wind:2797
Date:20150827, table:MarketData_510050_sh, MaxRecordDate:20150826, Wind:2721
Date:20150828, table:MarketData_510050_sh, MaxRecordDate:20150827, Wind:2526
Date:20150831, table:MarketData_510050_sh, MaxRecordDate:20150828, Wind:2612
Date:20150901, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2341
Date:20150902, table:MarketData_510050_sh, MaxRecordDate:20150901, Wind:2469
Date:20150907, table:MarketData_510050_sh, MaxRecordDate:20150902, Wind:2823
Date:20150908, table:MarketData_510050_sh, MaxRecordDate:20150907, Wind:2573
Date:20150909, table:MarketData_510050_sh, MaxRecordDate:20150908, Wind:2581
Date:20150910, table:MarketData_510050_sh, MaxRecordDate:20150909, Wind:2430
Date:20150911, table:MarketData_510050_sh, MaxRecordDate:20150910, Wind:2808
Date:20150914, table:MarketData_510050_sh, MaxRecordDate:20150911, Wind:2421
Date:20150915, table:MarketData_510050_sh, MaxRecordDate:20150914, Wind:2602
Date:20150916, table:MarketData_510050_sh, MaxRecordDate:20150915, Wind:2273
Date:20150917, table:MarketData_510050_sh, MaxRecordDate:20150916, Wind:2337
Date:20150918, table:MarketData_510050_sh, MaxRecordDate:20150917, Wind:2431
Date:20150921, table:MarketData_510050_sh, MaxRecordDate:20150918, Wind:2589
Date:20150922, table:MarketData_510050_sh, MaxRecordDate:20150921, Wind:2611
Date:20150923, table:MarketData_510050_sh, MaxRecordDate:20150922, Wind:2624
Date:20150924, table:MarketData_510050_sh, MaxRecordDate:20150923, Wind:2545
Date:20150925, table:MarketData_510050_sh, MaxRecordDate:20150924, Wind:2418
Date:20150928, table:MarketData_510050_sh, MaxRecordDate:20150925, Wind:2459
Date:20150929, table:MarketData_510050_sh, MaxRecordDate:20150928, Wind:2518
Date:20150930, table:MarketData_510050_sh, MaxRecordDate:20150929, Wind:2441
Date:20151008, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2782
Date:20151009, table:MarketData_510050_sh, MaxRecordDate:20151008, Wind:2516
Date:20151012, table:MarketData_510050_sh, MaxRecordDate:20151009, Wind:2762
Date:20151013, table:MarketData_510050_sh, MaxRecordDate:20151012, Wind:2485
Date:20151014, table:MarketData_510050_sh, MaxRecordDate:20151013, Wind:2317
Date:20151015, table:MarketData_510050_sh, MaxRecordDate:20151014, Wind:2089
Date:20151016, table:MarketData_510050_sh, MaxRecordDate:20151015, Wind:2468
Date:20151019, table:MarketData_510050_sh, MaxRecordDate:20151016, Wind:2362
Date:20151020, table:MarketData_510050_sh, MaxRecordDate:20151019, Wind:2506
Date:20151021, table:MarketData_510050_sh, MaxRecordDate:20151020, Wind:2762
Date:20151022, table:MarketData_510050_sh, MaxRecordDate:20151021, Wind:2457
Date:20151023, table:MarketData_510050_sh, MaxRecordDate:20151022, Wind:2296
Date:20151026, table:MarketData_510050_sh, MaxRecordDate:20151023, Wind:2419
